;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
"        285 Traitement des métaux ; mécanique générale";128.714;137.305;84.038;127.736;134.581;117.875;108.937;114.75;1075.054;511.053;427.443;922.441;1260.555;1544.76;1403.537;2362.811;2804.072;758.038;781.46;821.589;815.854;850.606;832.634;753.161;;;;;;;
        286 Fabrication de coutellerie, d'outillage et de quincailler;547.09;647.088;637.372;783.978;622.452;547.75;542.597;688.924;247.928;222.397;266.91;263.226;260.557;265.184;259.38;424.768;421.435;429.708;204.732;181.816;164.851;208.744;201.076;218.162;;;;;;;
        287 Fabrication d'autres ouvrages en métaux;2897.008;3266.121;3589.573;3175.924;3576.673;3970.713;3679.492;4123.143;2350.682;2268.646;2179.877;1896.909;1849.782;1760.621;2176.805;1932.719;2253.843;4706.93;6075.275;4925.13;5932.945;6960.072;6111.871;5673.842;;;;;;;
    29 Fabrication de machines et équipements;1717.17;1798.896;1747.882;1789.144;2161.077;2026.569;1985.367;1905.797;1670.768;1582.055;1567.718;1495.244;1976.798;1877.981;1638.274;1941.798;1986.619;2503.033;2513.497;2483.23;2305.2;2580.837;2471.842;2358.184;2345.44;2002.949;1888.386;;;;
        291 Fabrication d'équipements mécaniques;579.832;655.827;628.53;777.854;759.368;722.422;589.028;656.108;360.84;353.685;302.542;473.866;529.858;443.053;295.945;392.805;422.757;447.683;514.402;520.579;499.325;479.548;464.643;380.921;;;;;;;
        292 Fabrication de machines d'usage général;709.091;635.54;603.255;537.287;690.247;593.245;573.939;492.778;307.491;301.308;381.219;335.118;411.91;436.485;472.09;680.221;684.786;731.46;800.484;866.459;849.464;872.912;894.781;932.148;;;;;;;
        293 Fabrication de machines agricoles;155.507;161.802;196.788;168.149;164.956;165.298;319.853;337.051;265.511;73.949;90.688;57.366;65.913;56.32;60.903;78.442;72.646;101.702;344.582;324.462;252.522;523.478;445.453;452.654;;;;;;;
        294 Fabrication de machines-outils;31.933;28.778;28.121;45.242;53.736;32.702;22.1;18.612;18.21;13.338;0.466;9.882;22.429;19.205;44.936;40.1;35.348;45.438;47.775;50.109;41.557;80.551;64.039;72.843;;;;;;;
        295 Fabrication d'autres machines d'usage spécifique;76.309;120.1;138.066;95.197;100.366;110.624;97.113;79.68;165.949;169.202;62.111;54.868;59.506;59.289;71.387;52.33;64.037;77.366;78.286;72.082;46.286;42.08;27.048;34.27;;;;;;;
        297 Fabrication d'appareils domestiques;164.498;196.849;153.122;165.415;392.404;402.278;383.334;321.568;552.767;670.573;730.692;564.144;886.357;862.531;691.951;696.974;705.939;1098.26;726.552;647.874;614.401;582.268;575.878;485.348;;;;;;;
