;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
        355 Matériels de transport n.c.a;0.083;0.574;2.787;0.923;2.002;0.043;0.041;0.014;0.27;0.241;0.79;0.102;0.157;;0.003;0.003;;;0.116;0.148;0.098;;;;;;;;;
    36 Fabrication de meubles, industries diverses;43.43;15.715;13.822;33.516;23.163;17.36;18.526;41.508;57.447;55.873;46.04;222.863;178.425;204.873;159.656;116.207;179.857;136.153;156.799;180.628;160.473;400.699;145.86;150.501;109.068;91.224;63.463;;;
        361 Fabrication de meubles;42.789;13.41;8.157;30.251;15.769;15.629;17.425;34.087;24.718;28.7;23.107;197.952;156.043;175.51;81.399;80.856;123.048;91.508;93.991;82.502;104.481;335.932;121.296;115.992;;;;;;
        362 Bijouterie;;;;;;;;;5.216;4.034;4.118;11.877;18.904;15.861;31.22;24.876;44.099;26.925;48.462;77.02;50.818;48.259;18.354;23.266;;;;;;
        363 Fabrication d'instruments de musique;;;;;;;;2.222;;;;;;;;;;;;;;;;;;;;;;
        364 Fabrication d'articles de sport;;;0.603;;;;;;0.697;0.675;6.27;0.064;0.068;;;0.268;0.075;0.022;0.354;0.206;0.087;;;0.027;;;;;;
        365 Fabrication de jeux et de jouets;;;;;0.149;0.149;;;0.377;1.756;1.424;;0.005;0.031;0.21;1.523;1.326;1.287;2.392;4.489;2.125;5.084;2.11;0.695;;;;;;
        366 Autres industries diverses;0.641;2.305;5.062;3.265;7.245;1.582;1.101;5.199;26.439;20.708;11.121;12.97;3.405;13.471;46.827;8.684;11.309;16.411;11.6;16.411;2.962;11.424;4.1;10.521;;;;;;
    37 Récupération;;;;;;;;;;;;;0.096;;0.095;0.095;0.095;;8.14;;0.264;1.26;;0.055;0.02;2.473;0.216;;;
        372 Récupération de matières non métalliques recyclable;;;;;;;;;;;;;0.096;;0.095;0.095;0.095;;8.14;;0.264;1.26;;0.055;;;;;;
5 Industrie électrique et électronique;160.0;175.0;151.0;203.0;260.0;289.0;338.0;391.0;476.0;484.0;592.0;832.0;796.0;503.0;492.0;754.0;1088.0;1172.0;1478.0;986.0;1275.0;1455.0;1396.0;1610.0;1204.0;1093.0;1908.0;2 247;2 324;2 771
    31 Fabrication de machines et appareils électriques;118.878;145.988;132.959;159.089;186.782;182.353;162.725;229.131;360.0;353.621;432.146;646.306;682.37;478.376;349.269;650.854;764.172;1086.55;1374.253;765.709;928.182;1099.946;1157.225;1441.87;1127.231;958.182;1696.999;;;
        311 Fabrication de moteurs, génératrices et transforma;17.13;18.175;17.222;29.378;34.335;32.533;23.578;21.074;35.115;10.175;16.137;17.688;22.273;8.251;6.482;3.377;4.453;9.949;20.121;14.175;14.546;20.554;12.091;14.321;;;;;;
